project,stage,subject,record,matrix,band,component,component_1based,selected_order,edge_group,eigenvalue,matrix_path,epochs_path,gof,rv,x_mm,y_mm,z_mm,ori_x,ori_y,ori_z,amplitude,fit_error,dist_left_M1_mm,in_left_M1,dist_left_S1_mm,in_left_S1,dist_SMA_mm,in_SMA,dist_left_PMd_mm,in_left_PMd,dist_right_M1_mm,in_right_M1,dist_right_S1_mm,in_right_S1,dist_right_PMd_mm,in_right_PMd,roi_names,roi_count,roi_weights,best_roi,best_roi_weight,nearest_roi,nearest_roi_dist_mm
pr_AstroSync,exp,06KK,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",0,1,0,first5,0.17338351342260522,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\06KK\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\06KK\EPOCHS_im_rec_calib.hdf,67.06793306824666,32.93206693175334,-48.89612134503931,-2.1289333666737686,69.4160292408884,-0.9834426926118696,-0.049033485275962366,0.17445970213779396,0.00014876683587125596,,28.716603942976043,True,33.580811774051824,True,50.36011877564706,False,25.51680135267618,True,88.68869609878932,False,96.6551566413862,False,78.27817538698983,False,left_M1;left_S1;left_PMd,3,1;0.8;0.6,left_M1,1.0,left_PMd,25.51680135267618
pr_AstroSync,exp,06KK,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",1,2,1,first5,0.2451223132069582,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\06KK\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\06KK\EPOCHS_im_rec_calib.hdf,34.5566329819428,65.4433670180572,56.587067484647726,0.6711097947185756,61.89948441300445,-0.6142366704436275,-0.7745139407924343,-0.15113394125907018,9.857722380014102e-05,,95.99912833067316,False,103.72138951491868,False,57.11222190645826,False,85.2347584443324,False,32.66947998453267,True,35.37653608657392,False,30.45016401898601,True,right_M1;right_PMd,2,1;0.6,right_M1,1.0,right_PMd,30.45016401898601
pr_AstroSync,exp,06KK,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",2,3,2,first5,0.27673554272467205,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\06KK\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\06KK\EPOCHS_im_rec_calib.hdf,21.00903533848435,78.99096466151565,-34.45726289237416,-70.9686119714304,31.81997699483874,-0.1656683969194728,0.9611265009199634,0.22088420380706222,4.483451063051136e-05,,52.8498255516153,False,46.287723841524375,False,78.06162381144301,False,67.7599870882509,False,88.06219346199622,False,89.05825927081712,False,91.92730439943202,False,,0,,,0.0,left_S1,46.287723841524375
pr_AstroSync,exp,06KK,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",3,4,3,first5,0.28047597533203095,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\06KK\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\06KK\EPOCHS_im_rec_calib.hdf,26.348890564545368,73.65110943545463,-51.58011940576718,24.17812006646693,62.940998780805934,-0.36285013965906,0.3570421648970359,0.86073263481469,4.90297267361696e-05,,51.10820714828506,False,56.095925307341716,False,59.96366497814505,False,40.49235614628209,False,100.19773466672034,False,108.68400478568935,False,86.11970900858452,False,,0,,,0.0,left_PMd,40.49235614628209
pr_AstroSync,exp,06KK,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",4,5,4,first5,0.29736362444610964,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\06KK\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\06KK\EPOCHS_im_rec_calib.hdf,21.501719583222627,78.49828041677738,2.8439636033103204,18.871766580182513,67.06555987163723,-0.8519942199836782,0.047743251490836226,-0.5213697642283128,6.078843182808644e-05,,58.90066632385188,False,68.01765752044649,False,26.624749343088226,True,42.37792521083275,False,55.315076918658015,False,64.40974964407653,False,38.43650116236099,False,SMA,1,0.7,SMA,0.7,SMA,26.624749343088226
pr_AstroSync,exp,06KK,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",51,52,5,last5,0.6623413051086852,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\06KK\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\06KK\EPOCHS_im_rec_calib.hdf,31.736454034039685,68.26354596596032,11.069010347587554,1.4105835743988464,84.17983766536192,-0.9733905671820209,-0.19622040603829313,0.11835690083485262,4.9725148125227784e-05,,60.45901705733366,False,69.55923067376244,False,29.373859793579268,True,49.08207313874179,False,45.402150317868816,False,54.579234453507915,False,34.195332205828805,True,SMA;right_PMd,2,0.7;0.6,SMA,0.7,SMA,29.373859793579268
pr_AstroSync,exp,06KK,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",52,53,6,last5,0.6803577294733367,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\06KK\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\06KK\EPOCHS_im_rec_calib.hdf,15.531237675472559,84.46876232452745,-1.6609501633828319,-65.89114418484623,53.71071553687694,0.913154011371635,0.16030751803895735,0.3747682632989104,3.249296173278816e-05,,54.21511899968818,False,54.02165973261667,False,60.06751092246848,False,63.64252465670697,False,56.377796619568926,False,56.54537423799521,False,65.08761297649832,False,,0,,,0.0,left_S1,54.02165973261667
pr_AstroSync,exp,06KK,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",53,54,7,last5,0.6985870281996065,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\06KK\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\06KK\EPOCHS_im_rec_calib.hdf,40.51574016193153,59.48425983806847,-10.765355345817369,-14.767203028495487,82.90025255757195,-0.7590692747583287,-0.5123365797529088,0.4016529162908644,4.989005992028873e-05,,38.02177558190894,False,46.50233046170771,False,28.50928448936324,True,32.65657056161869,True,54.73451002976776,False,63.016239466245416,False,47.66729905897255,False,SMA;left_PMd,2,0.7;0.6,SMA,0.7,SMA,28.50928448936324
pr_AstroSync,exp,06KK,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",54,55,8,last5,0.7358001211498228,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\06KK\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\06KK\EPOCHS_im_rec_calib.hdf,34.54145761946495,65.45854238053505,50.009765901500145,-17.92889329369561,29.28878110575248,0.3686385058451085,0.8186385765852835,0.440382257742869,0.00024445755417269006,,90.2664244439016,False,95.53694626701375,False,58.886409901849326,False,83.05176526035346,False,30.767208064278044,True,26.938215059172848,True,36.00697060143824,False,right_M1;right_S1,2,1;0.8,right_M1,1.0,right_S1,26.938215059172848
pr_AstroSync,exp,06KK,EPOCHS_im_rec_calib.hdf,"MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf","[8, 12]",55,56,9,last5,0.8134427446008557,"C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\features\csp\exp\06KK\MATRIX_[8, 12]_robust_concat+reg0.1_im_rec_calib.hdf",C:\Users\hodor\Documents\lab-Shishkin\projects\BCI_classifier\data\pr_AstroSync\trans\exp\06KK\EPOCHS_im_rec_calib.hdf,11.53937733354105,88.46062266645895,-9.322107007235461,-65.7186633472845,53.136310627613376,0.28616346617019867,0.07903606857249827,0.9549155829150873,4.701359690460921e-05,,49.60199152089536,False,48.42477468822795,False,60.63724849753422,False,60.733092314386944,False,61.66636823975352,False,62.538570345197364,False,68.79378232717124,False,,0,,,0.0,left_S1,48.42477468822795
